text,sentiment,source
i found this product to be waaay too big,negative,amazon
best i've found so far i've tried 2 other bluetooths and this one has the best quality for both me and the listener as well as ease of using,positive,amazon
i'm very disappointed with my decision,negative,amazon
integrated seamlessly with the motorola razr phone,positive,amazon
buyer beware you could flush money right down the toilet,negative,amazon
definitely a bargain,positive,amazon
the price was very good and with the free shipping and all it was a good purchase,positive,amazon
i received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger,negative,amazon
pros good camera very nice pictures also has cool styles like black and white and more,positive,amazon
that's a huge design flaw unless i'm not using it correctly which i don't think is the case,negative,amazon
i love my 350 headset my jabra350 bluetooth headset is great the reception is very good and the ear piece is a comfortable fit,positive,amazon
the camera although rated at an impressive 1 3 megapixels renders images that fall well below expectations of such a relatively high resolution,negative,amazon
i purcashed this for the car charger and it does not work,negative,amazon
sound quality on both end is excellent i use headset to call my wife and ask my wife to use headset to call me 2,positive,amazon
this phone is slim and light and the display is beautiful,positive,amazon
its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case,positive,amazon
great product fast shipping,positive,amazon
absolutely great,positive,amazon
the keyboard is a nice compromise between a full qwerty and the basic cell phone number keypad,positive,amazon
i got this phone around the end of may and i'm completely unhappy with it,negative,amazon
it is very comfortable on the ear,positive,amazon
it has been a winner for us,positive,amazon
setup couldn't have been simpler,positive,amazon
i've tried several different earpieces for my cell phone and this jabra one is the first one i've found that fits my ear comfortably,positive,amazon
could not get strong enough signal,negative,amazon
iam very pleased with my purchase,positive,amazon
bad quality,negative,amazon
gets the job done,positive,amazon
great audio,positive,amazon
basically the service was very bad,negative,amazon
it did not work in my cell phone plug i am very up set with the charger,negative,amazon
i've only had my bluetooth for a few weeks but i really like it,positive,amazon
the bt headset was such a disapoinment,negative,amazon
it is so small and you don't even realize that it is there after a while of getting used to it,positive,amazon
the accompanied software is almost brilliant,positive,amazon
headset works great was packaged nicely to avoid any damage,positive,amazon
i definitly recommend,positive,amazon
buyer be very careful,negative,amazon
the majority of the logitech earbud headsets failed,negative,amazon
very good stuff for the price,positive,amazon
my headset works just peachy keen,positive,amazon
in my house i was getting dropped coverage upstairs and no coverage in my basement,negative,amazon
voice recognition is tremendous,positive,amazon
what a waste,negative,amazon
during several different 2 minute calls i experienced 5 drops and it was in an area that had 5 bars,negative,amazon
i was not happy with this item,negative,amazon
very disappointed,negative,amazon
the phone takes forever to charge like 2 to 5 hours literally,negative,amazon
i got this phone on reccomendation from a relative and i'm glad i did,positive,amazon
what a waste of time,negative,amazon
its reception is very very poor,negative,amazon
items stated as included from the description are not included,negative,amazon
after 3 months screen just went black all of a sudden,negative,amazon
i was hoping for more,negative,amazon
audio quality is poor very poor,negative,amazon
i had absolutely no problem with this headset linking to my 8530 blackberry curve,positive,amazon
i know that sounds funny but to me it seemed like sketchy technology that wouldn't work well well this one works great,positive,amazon
i've bought 5 wired headphones that sound better than these,negative,amazon
this phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used,positive,amazon
nice quality build unlike some cheap s out there,positive,amazon
this item is fantastic and works perfectly,positive,amazon
and i just love the colors,positive,amazon
w810i is just superb,positive,amazon
all i can do is whine on the internet so here it goes the more i use the thing the less i like it,negative,amazon
great charger,positive,amazon
this is essentially a communications tool that does not communicate,negative,amazon
works like a charm it work the same as the one i got with the phone,positive,amazon
i still maintain that monkeys shouldn't make headphones we just obviously don't share enough dna to copy the design over to humans,negative,amazon
great value,positive,amazon
doesn't work at all i bougth it for my l7c and its not working,negative,amazon
the look of it is very sharp and the screen is nice and clear with great graphics,positive,amazon
doesn't last long,negative,amazon
one thing i hate is the mode set button at the side,negative,amazon
excellent service,positive,amazon
thank you for wasting my money,negative,amazon
how can that be the audio quality is poor,negative,amazon
the igo chargers and tips are really great,positive,amazon
the file browser offers all the options that one needs handsfree is great,positive,amazon
superb phone on a great network,positive,amazon
i connected my wife's bluetooth motorola hs850 to my phone and it worked like a charm whether the phone was in my pocket or the case,positive,amazon
i put the latest os on it v1 15g and it now likes to slow to a crawl and lock up every once in a while,negative,amazon
it only recognizes the phone as its storage device,negative,amazon
if you like a loud buzzing to override all your conversations then this phone is for you,negative,amazon
don't buy this product,negative,amazon
i've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear,negative,amazon
the sound quality is good and functionality is awesome,positive,amazon
i have this phone and it is a thorn in my side i really abhor it,negative,amazon
i recently had problems where i could not stay connected for more than 10 minutes before being disconnected,negative,amazon
incredible,positive,amazon
design flaw,negative,amazon
great phone,positive,amazon
waste of 13 bucks,negative,amazon
but when i check voice mail at night the keypad backlight turns off a few seconds into the first message and then i'm lost,negative,amazon
the replacement died in a few weeks,negative,amazon
any ring tone overall good phone to buy,positive,amazon
lately they have been extremely nice and helpful on the phone,positive,amazon
i have had problems wit hit dropping signal and more,negative,amazon
not impressed,negative,amazon
light weight i hardly notice it is there,positive,amazon
you'll love how thin it is,positive,amazon
bad choice,negative,amazon
the pleather case doesn't fit,negative,amazon
useless phone simply deaf,negative,amazon
the color is even prettier than i thought it would be and the graphics are incredibly sharp,positive,amazon
all in all i think it was a good investment,positive,amazon
it makes very strange ticking noises before it ends the call,negative,amazon
the best electronics of the available fm transmitters,positive,amazon
battery lasts only a few hours,negative,amazon
great headset very impressed h500,positive,amazon
the 1 2 mega pixel camera being a part of a phone is reasonably good7,positive,amazon
i've had this for nearly 2 years and it has worked great for me,positive,amazon
good transmit audio,positive,amazon
we are sending it back,negative,amazon
i did not bother contacting the company for few dollar product but i learned the lesson that i should not have bought this form online anyway,negative,amazon
if you hate earbugs avoid this phone by all means,negative,amazon
great price also,positive,amazon
the range is very decent i've been able to roam around my house with the phone in the living room with no reception sound quality issues,positive,amazon
fast service,positive,amazon
i would highly recommend this,positive,amazon
i would recommend this,positive,amazon
i also didn't like the on button it felt like it would crack with use,negative,amazon
worst phone ever,negative,amazon
i'm still infatuated with this phone,positive,amazon
freezes frequently4,negative,amazon
it's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child like the company is,negative,amazon
simple lightweight and great fit,positive,amazon
all in all i'd expected a better consumer experience from motorola,negative,amazon
there's a horrible tick sound in the background on all my calls that i have never experienced before,negative,amazon
these are certainly very comfortable and functionality is decent,positive,amazon
i usually don't like headbands but this one is very lightweight doesn't mess up my hair,positive,amazon
i'm a bit disappointed,negative,amazon
i have had this phone for over a year now and i will tell you its not that great,negative,amazon
i ordered this for sony ericsson w810i but i think it only worked once thats when i first used it,negative,amazon
the battery is completely useless to me,negative,amazon
what a big waste of time,negative,amazon
don't waste your on this one,negative,amazon
great sound and service,positive,amazon
really pleased with this product so far,positive,amazon
one of my favorite purchases ever,positive,amazon
best bluetooth on the market,positive,amazon
authentic leather with nice shine and comfort i recommend you this case,positive,amazon
i was very excited to get this headset because i thought it was really cute,positive,amazon
do not make the same mistake as me,negative,amazon
big disappointment with calendar sync,negative,amazon
the phone was unusable and was not new,negative,amazon
worst customer service ever,negative,amazon
no additional ear gels provided and no instructions whatsoever,negative,amazon
it defeats the purpose of a bluetooth headset,negative,amazon
worth every penny,positive,amazon
excellent wallet type phone case,positive,amazon
nice headphones for the price and they work great,positive,amazon
internet is excrutiatingly slow,negative,amazon
it is very comfortable to wear as well which is probably the most important aspect about using a case,positive,amazon
it's fits like a glove and is strong secure and durable,positive,amazon
o my gosh the best phone i have ever had,positive,amazon
it's very attractive and appears to be of good quality,positive,amazon
i love all the features and form factor,positive,amazon
this product had a strong rubber petroleum smell that was unbearable after a while and caused me to return it,negative,amazon
poor quality and service,negative,amazon
the cable looks so thin and flimsy it is scary,negative,amazon
great earpiece,positive,amazon
excellent hands free tool,positive,amazon
great for using with your home stereo,positive,amazon
good product incredible value,positive,amazon
only had this a month but it's worked flawlessly so far,positive,amazon
works great,positive,amazon
absolutel junk,negative,amazon
that one didn't work either,negative,amazon
battery life is real good,positive,amazon
returned 8 hours later,negative,amazon
it's a great item,positive,amazon
don't waste your money,negative,amazon
love this headset,positive,amazon
not only will it drain your player but may also potentially fry it,negative,amazon
worked perfectly,positive,amazon
unreliable i'm giving up,negative,amazon
i gave it 5 stars because of the sound quality,positive,amazon
avoid this one if you can,negative,amazon
reversible plug works great,positive,amazon
i wasted my little money with this earpiece,negative,amazon
very good phone,positive,amazon
best of all is the rotating feature very helpful,positive,amazon
comfort for our whole family,positive,amazon
good product good seller,positive,amazon
i love this bluetooth,positive,amazon
first of all it doesn't wear well,negative,amazon
i am very impressed with this headset from plantronics,positive,amazon
i got it because it was so small and adorable,positive,amazon
great phone,positive,amazon
i wouldn't recommend buying this product,negative,amazon
piece of junk,negative,amazon
poorly contstruct hinge,negative,amazon
this item is great installed it let it charged up overnite and it has been working good every since with no problems,positive,amazon
great phone,positive,amazon
don't buy it,negative,amazon
excellent phone,positive,amazon
do not purchase this phone,negative,amazon
the voice recognition thru the handset is excellent,positive,amazon
this is hands down the best phone i've ever had,positive,amazon
works great when my cat attacked the phone he scratched the protective strip instead of destroying the screen,positive,amazon
this one works and was priced right,positive,amazon
customer service was terrible,negative,amazon
battery life still not long enough in motorola razor v3i,negative,amazon
sending it back,negative,amazon
now i know that i made a wise decision,positive,amazon
someone shouldve invented this sooner,positive,amazon
good price,positive,amazon
everything worked on the first try the device was certainly engineered in a clever way and the construction feels good,positive,amazon
i received it quickly and it works great,positive,amazon
has been working great,positive,amazon
as many people complained i found this headset's microphone was very weak,negative,amazon
my 5 year old nokia 2160 from tracfone holds the charge a lot better than this,negative,amazon
they do not care about the consumer one bit,negative,amazon
this is a good battery and it got here really fast,positive,amazon
the instruction manual is lacking,negative,amazon
also its slim enough to fit into my alarm clock docking station without removing the case,positive,amazon
phone now holds charge like it did when it was new,positive,amazon
the battery is unreliable as well as the service use antena,negative,amazon
it's uncomfortable and the sound quality is quite poor compared with the phone razr or with my previous wired headset that plugged into an lg,negative,amazon
we have gotten a lot of compliments on it,positive,amazon
this is definitely a must have if your state does not allow cell phone usage while driving,positive,amazon
i want my money back,negative,amazon
i love this device,positive,amazon
i am also very happy with the price,positive,amazon
i ordered this product first and was unhappy with it immediately,negative,amazon
the ngage is still lacking in earbuds,negative,amazon
i was able to do voice dialing in the car with no problem,positive,amazon
i have 2 3 bars on my cell phone when i am home but you cant not hear anything,negative,amazon
good item low price,positive,amazon
however the riingtones are not the best and neither are the games,negative,amazon
the plug did not work very well,negative,amazon
amazon sucks,negative,amazon
rip off over charge shipping,negative,amazon
very comfortable,positive,amazon
the battery is working well as a replacement for the original that came with the phone over 2 years ago,positive,amazon
the reception is excellent,positive,amazon
it fits comfortably in either ear the sound is clear and loud and the charge lasts a couple of days,positive,amazon
very clear quality sound and you don't have to mess with the sound on your ipod since you have the sound buttons on the headset,positive,amazon
1 long lasting battery you don't have to recharge it as frequentyly as some of the flip phones 2,negative,amazon
obviously there is a problem with the adhesive,negative,amazon
very disappointing,negative,amazon
it was an inexpensive piece but i would still have expected better quality,negative,amazon
it is practically useless and did not add any kind of boost to my reception after i bought it,negative,amazon
excellent sound quality,positive,amazon
was not happy,negative,amazon
a piece of junk that broke after being on my phone for 2 days,negative,amazon
new battery works great in phone,positive,amazon
worst customer service,negative,amazon
i've dropped my phone more times than i can say even on concrete and my phone is still great knock on wood,positive,amazon
reception is terrible and full of static,negative,amazon
good audio quality,positive,amazon
this little device has transformed my organizational capability and made my life a whole lot easier,positive,amazon
i was sitting in my vehicle with the cradle on my belt and the headset lost signal,negative,amazon
were jerks on the phone,negative,amazon
works like a charm works as advertised,positive,amazon
comfortable nice range good battery life,positive,amazon
their network coverage in los angeles is horrible,negative,amazon
excellent starter wireless headset,negative,amazon
the loudspeaker option is great the bumpers with the lights is very appealing,negative,amazon
the only thing that i think could improve is the sound leaks out from the headset,negative,amazon
first off the reception sucks i have never had more than 2 bars ever,negative,amazon
the phone gets extremely hot,negative,amazon
the microphone also works well but according to people i have called it applifies everything,positive,amazon
nice design and quality,positive,amazon
also if your phone is dropped this case is not going to save it specially when dropped face down,negative,amazon
it is light easy to use and has very clear reception and transmission,positive,amazon
bad fit way too big,negative,amazon
it definitely was not as good as my s11,positive,amazon
awesome device,positive,amazon
waste of money,negative,amazon
i had ordered a motorola data cable got a very well finished and working product,positive,amazon
love this phone,positive,amazon
i was looking for this headset for a long time and now that i've got it i couldn't be happier,positive,amazon
i'll be drivng along and my headset starts ringing for no reason,negative,amazon
display is excellent and camera is as good as any from that year,positive,amazon
battery life is also great,positive,amazon
the worst phone i've ever had only had it for a few months,negative,amazon
not a good item it worked for a while then started having problems in my auto reverse tape player,negative,amazon
this is so embarassing and also my ears hurt if i try to push the ear plug into my ear,negative,amazon
protects the phone on all sides,positive,amazon
this is a very average phone with bad battery life that operates on a weak network,negative,amazon
clear skype calls long battery life long range,positive,amazon
soyo technology sucks,negative,amazon
great hands free device,positive,amazon
you can even take self portraits with the outside exterior display very cool,positive,amazon
same problem as others have mentioned,negative,amazon
after trying many many handsfree gadgets this is the one that finally works well,positive,amazon
magical help,positive,amazon
the worst piece of crap ever along with the verizon customer service,negative,amazon
poor sound quality,negative,amazon
the best phone in market,positive,amazon
it worked very well,positive,amazon
the company shipped my product very promptly and it works well,positive,amazon
exactly what i wanted,positive,amazon
the picture resolution is far below what other comparably priced phones are offering today,negative,amazon
this is a great deal,positive,amazon
excellent product i am very satisfied with the purchase,positive,amazon
i highly recommend these and encourage people to give them a try,positive,amazon
better than you'd expect,positive,amazon
using all earpieces left or right this thing will not stay on my ear,negative,amazon
great product and price,positive,amazon
sounds good reasonably priced and effective its that simple,positive,amazon
still waiting i'm sure this item would work well if i ever recieve it,negative,amazon
what a disappointment,negative,amazon
very prompt service,positive,amazon
excellent product for the price,positive,amazon
very pleased with this headset,positive,amazon
don't waste your money and time,negative,amazon
i especially love the long battery life,positive,amazon
it's so stupid to have to keep buying new chargers car chargers cradles headphones and car kits every time a new phone comes out,negative,amazon
works great,positive,amazon
plantronics bluetooth excelent buy,positive,amazon
i came over from verizon because cingulair has nicer cell phones the first thing i noticed was the really bad service,negative,amazon
i'll be looking for a new earpiece,negative,amazon
i highly recommend this device to everyone,positive,amazon
jawbone era is awesome too,positive,amazon
we received a white colored battery that goes dead after a couple hoursthe original used to last a week but still lasts longer than thereplacement,negative,amazon
after a year the battery went completely dead on my headset,negative,amazon
i have used several phone in two years but this one is the best,positive,amazon
an awesome new look for fall 2000,positive,amazon
this is the first phone i've had that has been so cheaply made,negative,amazon
att is not clear sound is very distorted and you have to yell when you talk,negative,amazon
the plastic breaks really easy on this clip,negative,amazon
price is good too,positive,amazon
don't make the same mistake i did,negative,amazon
oh and i forgot to also mention the weird color effect it has on your phone,negative,amazon
i'm using it with an iriver spinn with case and it fits fine,positive,amazon
also the area where my unit broke i'm not too fond of the magnetic strap,negative,amazon
overall i am psyched to have a phone which has all my appointments and contacts in and gets great reception,positive,amazon
every thing on phone work perfectly she like it,positive,amazon
another note about this phone's appearance is that it really looks rather bland especially in the all black model,negative,amazon
it's really easy,positive,amazon
my sanyo has survived dozens of drops on blacktop without ill effect,positive,amazon
fantastic earphones,positive,amazon
it finds my cell phone right away when i enter the car,positive,amazon
low quality,negative,amazon
i highly recommend this modest priced cellular phone,positive,amazon
but it does get better reception and clarity than any phone i've had before,positive,amazon
warning stay away,negative,amazon
i wish i could return the unit and get back my money,negative,amazon
awsome device works great,positive,amazon
i used to talk on it for 1 1 1 2 hours and the battery would be literally drained and dying,negative,amazon
if you don't find it too bad as again the unit comes with one earpad only i would not recommend this to anyone,negative,amazon
very displeased,negative,amazon
i might have gotten a defect but i would not risk buying it again because of the built quality alone,negative,amazon
they made this case too small and is very difficult to install,negative,amazon
restored my phone to like new performance,positive,amazon
i would recommend purchasing the jabra jx 10 series 2 which works flawlessly with my moto q go figure,positive,amazon
i searched the internet and found this one to be the best value,positive,amazon
does not fit,negative,amazon
very happy with this product,positive,amazon
the screen size is big key pad lit well enough and the camera quality is excellent for a camera phone,positive,amazon
there's really nothing bad i can say about this headset,negative,amazon
i'm glad i found this product on amazon it is hard to find it wasn't high priced,positive,amazon
portable and it works,positive,amazon
my colleague i now get great reception a little expensive but performance is great,positive,amazon
i even fully charged it before i went to bed and turned off blue tooth and wi fi and noticed that it only had 20 left in the morning,negative,amazon
i've also had problems with the phone reading the memory card in which i always turn it on and then off again,negative,amazon
not good when wearing a hat or sunglasses,negative,amazon
timely shipment and quality product,positive,amazon
nice solid keyboard,positive,amazon
very well made and fits my surefire gx2 perfectly,positive,amazon
horrible phone,negative,amazon
bt50 battery junk,negative,amazon
we would recommend these to others,positive,amazon
cant get the software to work with my computer,negative,amazon
disappointed,negative,amazon
poor voice clarity,negative,amazon
the battery works great,positive,amazon
no buyers remorse on this one,negative,amazon
very disappointed in accessoryone,negative,amazon
i find this inexcusable and so will probably be returning this phone and perhaps changing carriers,negative,amazon
looks great and is strong,positive,amazon
i have had tmobile service for 2 or 3 years now and i am pretty happy with it,positive,amazon
the update procedure is difficult and cumbersome,negative,amazon
disappointment i hate anything that goes in my ear,negative,amazon
great software for motorolas,positive,amazon
the delivery was on time,positive,amazon
very easy to use,positive,amazon
uncomfortable in the ear don't use with lg vx9900 env,negative,amazon
the volume switch rocketed out of the unit to a destination unknown,negative,amazon
it holds a charge for a long time is reasonably comfortable under long wearing conditions and the quality of sound is tremendous,positive,amazon
i'd like to return it,negative,amazon
the keyboard is really worthwhile in usefulness and is sturdy enough i don't expect any problems,positive,amazon
verizon's bills however are difficult to understand even though their pricing plans are simple,negative,amazon
after charging overnight these batteries work great,positive,amazon
you won't regret it,positive,amazon
i love this phone,positive,amazon
a disappointment,negative,amazon
its not user friendly,negative,amazon
unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect,negative,amazon
then i exchanged for the same phone even that had the same problem,negative,amazon
this results in the phone being either stuck at max volume or mute,negative,amazon
this pda rocks,positive,amazon
it is super charged up for use as a small hybrid palmtop camera cellphone and excels in those roles,positive,amazon
i would definitely recommend the jabra bt250v for those who are looking for comfort clarity and a great price,positive,amazon
i had verizon 2 years ago and really liked their service,positive,amazon
pretty piece of junk,negative,amazon
plug was the wrong size,negative,amazon
works as described,positive,amazon
save your money i've had this item for 11 months now,negative,amazon
bad purchase,negative,amazon
well im satisfied,positive,amazon
the bose noise cancelling is amazing which is very important for a nyc commuter,positive,amazon
this battery is an excellent bargain,positive,amazon
defective crap,negative,amazon
i would have given no star if i was able,negative,amazon
i wear glasses and it fits fine with them,positive,amazon
the sound quality for the device is unacceptable unless you are in a really quiet area you almost hear nothing,negative,amazon
i would not recommend this item to anyone,negative,amazon
the holster that arrived did not match the photo in the ad,negative,amazon
great no problems at all,positive,amazon
as an earlier review noted plug in this charger and nothing happens,negative,amazon
this frog phone charm is adorable and very eye catching,positive,amazon
you never know if you pushed it hard enough or the right number of times for the function you want or not,negative,amazon
the sound is clear and the people i talk to on it are amazed at the quality too,positive,amazon
i got the aluminum case for my new palm vx and it worked really well it has protected my handheld perfectly so far,positive,amazon
very good product well made,positive,amazon
mobile phone tools are a must have,positive,amazon
i am very impressed with the job that motorola did on the sturdiness of this phone,positive,amazon
i received my orders well within the shipping timeframe everything was in good working order and overall i am very excited to have this source,positive,amazon
the phone is sturdy and waterproof,positive,amazon
i am not impressed with this and i would not recommend this item to anyone,negative,amazon
my only complaint is the standard sound volume is a little low even when turned up to 5 of 5,negative,amazon
thanks again to amazon for having the things i need for a good price,positive,amazon
i ended up sliding it on the edge of my pants or back pockets instead,positive,amazon
i had to go to a store and bought a new nokia phone which is working great,positive,amazon
works great,positive,amazon
really ugly,negative,amazon
horrible had to switch 3 times,negative,amazon
the noise shield is incrediable,positive,amazon
no real improvement,negative,amazon
razr battery good buy,positive,amazon
keep up the good work amazon,positive,amazon
they refuse to refund or replace,negative,amazon
unfortunately it's easy to accidentally activate them with the gentle touch buttons if you accidentally touch the phone to your face while listening,negative,amazon
so i basically threw my money out the window for nothing,negative,amazon
great case and price,positive,amazon
all it took was one drop from about 6 inches above the kitchen counter and it was cracked i am not impressed and i am not laughing,negative,amazon
bluetooth range is good a few days ago i left my phone in the trunk got a call and carried the conversation without a hitch,positive,amazon
small sleek impressive looking practical setup with ample storage in place,positive,amazon
the eargels channel the sound directly into your ear and seem to increase the sound volume and clarity,positive,amazon
none of the new ones have ever quite worked properly,negative,amazon
i am glad i purchased it,positive,amazon
i've missed numerous calls because of this reason,negative,amazon
perhaps my phone is defective but people cannot hear me when i use this,negative,amazon
don't buy this product,negative,amazon
sucked most of the stuff does not work with my phone,negative,amazon
no shifting no bubbling no peeling not even a scratch nothing i couldn't be more happier with my new one for the droid,positive,amazon
worst software ever used if i could give this zero stars i would,negative,amazon
trying to make a call on these is an exercise in frustration,negative,amazon
the case is a flimsy piece of plastic and has no front or side protection whatsoever,negative,amazon
i own a jabra earset and was very happy with it but the sound quality especially outgoing on this is better,positive,amazon
i love the camera it's really pretty good quality,positive,amazon
thank you for such great service,positive,amazon
its a total package,positive,amazon
the seller is very understanding and patient i would definitely buy from them again,positive,amazon
i give wirefly 1 star i will contact cingular at t and inform them of this practice,negative,amazon
it's aggravating,negative,amazon
great product for the price,positive,amazon
i have purchased these for both family and friends and all enjoy their clarity and ease of use,positive,amazon
virgin wireless rocks and so does this cheap little phone,positive,amazon
none of it works just don't buy it,negative,amazon
muddy low quality sound and the casing around the wire's insert was poorly super glued and slid off,negative,amazon
please dont waste your money,negative,amazon
all in all i'm quite satisfied with this purchase,positive,amazon
if you are looking for a good quality motorola headset keep looking this isn't it,negative,amazon
yet plantronincs continues to use the same flawed charger design,negative,amazon
disapointing results,negative,amazon
cumbersome design,negative,amazon
great it was new packaged nice works good no problems and it came in less time then i expected,positive,amazon
great product,positive,amazon
it's a piece of crap,negative,amazon
my experience was terrible this was my fourth bluetooth headset and while it was much more comfortable than my last jabra which i hated,negative,amazon
this fixes all the problems,positive,amazon
worst ever,negative,amazon
i am very happy,positive,amazon
i've had no trouble accessing the internet downloading ringtones or performing any of the functions,positive,amazon
i can barely ever hear on it and am constantly saying what,negative,amazon
the battery life is highly unacceptable,negative,amazon
that company is a joke,negative,amazon
it does everything the description said it would,positive,amazon
due to this happening on every call i was forced to stop using this headset,negative,amazon
it works great with a car charger especially if you cannot plug in two adapters at the same time,positive,amazon
verizon tech support walked my through a few procedures none of which worked and i ended up having to do a hard re set wiping out all my data,negative,amazon
voice quality signal strength dropped calls,negative,amazon
it plays louder than any other speaker of this size the price is so low that most would think the quality is lacking however it's not,positive,amazon
better than expected,positive,amazon
it feels poorly constructed the menus are difficult to navigate and the buttons are so recessed that it is difficult to push them,negative,amazon
battery is holding up well,positive,amazon
also difficult to put on i'd recommend avoiding this product,negative,amazon
i only used it two days and it wasn't always easy to hear with,negative,amazon
i got the car charger and not even after a week the charger was broken i went to plug it in and it started smoking,negative,amazon
sprint terrible customer service,negative,amazon
linked to my phone without effort,positive,amazon
they are so cool,positive,amazon
easy to use,positive,amazon
better than new,positive,amazon
what possesed me to get this junk i have no idea,negative,amazon
piece of trash,negative,amazon
a pretty good product,positive,amazon
this is a great phone,positive,amazon
for the price on amazon it is an excellent product which i would highly recommend,positive,amazon
their research and development division obviously knows what they're doing,positive,amazon
the real killer is the volume and of course it breaking,negative,amazon
those phones are working just fine now,positive,amazon
